Player,Team,Role,Base_Projection,Post_Toss_Projection
NAM_Player_1,NAM,BAT,56.0,64.4
NAM_Player_2,NAM,BOWL,79.15950000000001,91.03
NAM_Player_3,NAM,AR,69.069,79.43
NAM_Player_4,NAM,BOWL,84.756,97.47
NAM_Player_5,NAM,BAT,89.72,103.18
NAM_Player_6,NAM,AR,84.18900000000001,96.82
NAM_Player_7,NAM,BAT,55.34,63.64
NAM_Player_8,NAM,BOWL,71.4315,82.15
NAM_Player_9,NAM,AR,73.059,84.02
NAM_Player_10,NAM,BOWL,72.9645,83.91
NAM_Player_11,NAM,BAT,89.22,102.6
ZIM_Player_1,ZIM,BAT,71.45,82.17
ZIM_Player_2,ZIM,BOWL,70.65450000000001,81.25
ZIM_Player_3,ZIM,AR,89.754,103.22
ZIM_Player_4,ZIM,BOWL,86.499,99.47
ZIM_Player_5,ZIM,BAT,92.8,106.72
ZIM_Player_6,ZIM,AR,60.0285,69.03
ZIM_Player_7,ZIM,BAT,91.48,105.2
ZIM_Player_8,ZIM,BOWL,86.8455,99.87
ZIM_Player_9,ZIM,AR,54.1275,62.25
ZIM_Player_10,ZIM,BOWL,67.6935,77.85
ZIM_Player_11,ZIM,BAT,50.74,58.35
