player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
A Bosch,140.76,138.0,104.54545454545456,0.0,0.0,0.0,140.76,BAT,8.5
A Canning,10.2,10.0,111.11111111111111,73.99284,3.0,6.239999999999999,84.19284,BOWL,8.5
A Capsey,202.98,199.0,121.34146341463416,0.0,0.0,0.0,202.98,BAT,8.5
A Dalzell,20.4,20.0,80.0,0.0,0.0,8.639999999999999,20.4,BAT,8.5
A Das,3.06,3.0,37.5,73.99284,3.0,5.755102040816327,77.05284,BOWL,8.5
A Dercksen,175.44,172.0,127.40740740740742,51.70584,2.0,6.571428571428571,227.14584,BAT,8.5
A Gardner,470.22,461.0,121.31578947368422,675.74184,30.0,6.428571428571429,1145.96184,AR,8.5
A Hunter,99.96000000000001,98.0,90.74074074074076,0.0,0.0,0.0,99.96000000000001,BAT,8.5
A Khaka,10.2,10.0,83.33333333333334,519.73284,23.0,6.219959266802444,529.93284,BOWL,8.5
A King,11.22,11.0,84.61538461538461,51.70584,2.0,5.945945945945946,62.92584,BOWL,8.5
A Lister,129.54,127.0,98.44961240310076,0.0,0.0,0.0,129.54,BAT,8.5
A Mohammed,28.560000000000002,28.0,100.0,296.86284,13.0,5.602787456445993,325.42284,BOWL,8.5
A Munisar,1.02,1.0,100.0,140.85384000000002,6.0,6.482142857142857,141.87384000000003,BOWL,8.5
A Reddy,19.38,19.0,86.36363636363636,252.28884000000002,11.0,7.267241379310345,271.66884000000005,BOWL,8.5
A Shrubsole,58.14,57.0,98.27586206896552,764.88984,34.0,4.410958904109589,823.02984,BOWL,8.5
A Sutherland,84.66,73.0,140.3846153846154,430.58484,19.0,5.76678445229682,515.24484,BOWL,8.5
A Tector,38.76,38.0,100.0,29.41884,1.0,5.666666666666667,68.17884,BAT,8.5
AA Alleyne,45.9,45.0,97.82608695652172,274.57584,12.0,6.3444976076555015,320.47584,BOWL,8.5
AA Patil,43.86,43.0,87.75510204081633,185.42784,8.0,4.791044776119403,229.28784000000002,BOWL,8.5
AC Jayangani,814.98,799.0,111.28133704735376,519.73284,23.0,6.425427872860635,1334.7128400000001,AR,8.5
AC Kerr,424.32,416.0,104.52261306532664,898.61184,40.0,5.4748603351955305,1322.93184,AR,8.5
AE Jones,389.64,382.0,117.53846153846156,0.0,0.0,0.0,389.64,BAT,8.5
AE Satterthwaite,103.02,101.0,86.32478632478633,66.861,3.0,7.7,169.881,BAT,8.5
AH Maqsood,9.18,9.0,52.94117647058824,0.0,0.0,7.9714285714285715,9.18,BAT,8.5
AJ Blackwell,113.22,111.0,82.83582089552239,0.0,0.0,0.0,113.22,BAT,8.5
AJ Healy,879.24,862.0,128.4649776453055,0.0,0.0,0.0,879.24,BAT,8.5
AJ Kenealy,18.36,18.0,85.71428571428571,51.70584,2.0,6.424778761061948,70.06584000000001,BOWL,8.5
AK Maguire,3.06,3.0,60.0,140.85384000000002,6.0,7.322033898305084,143.91384000000002,BOWL,8.5
AM Peterson,28.560000000000002,28.0,112.0,118.56684000000001,5.0,6.885245901639345,147.12684000000002,BOWL,8.5
AN Kelly,24.48,24.0,77.41935483870968,163.14084,7.0,6.932642487046633,187.62084,BOWL,8.5
ASS Fletcher,43.86,43.0,113.1578947368421,764.88984,34.0,5.948186528497409,808.7498400000001,BOWL,8.5
Aiman Anwer,7.140000000000001,7.0,58.333333333333336,200.583,9.0,7.937888198757764,207.723,BOWL,8.5
Aliya Riaz,206.04,202.0,84.87394957983193,185.42784,8.0,7.338842975206611,391.46784,AR,8.5
Anam Amin,0.0,0.0,0.0,363.72384,16.0,5.39413680781759,363.72384,BOWL,8.5
Asmavia Iqbal,74.46000000000001,73.0,104.28571428571428,341.43684,15.0,4.551724137931034,415.89684,BOWL,8.5
Ayasha Rahman,112.2,110.0,53.65853658536586,0.0,0.0,0.0,112.2,BAT,8.5
Ayesha Naseem,60.18,49.0,158.06451612903226,0.0,0.0,0.0,60.18,BAT,8.5
Ayesha Zafar,96.9,95.0,86.36363636363636,96.27984,4.0,5.8,193.17984,BAT,8.5
B Bezuidenhout,103.02,91.0,146.7741935483871,0.0,0.0,0.0,103.02,BAT,8.5
B Cooper,115.26,113.0,94.9579831932773,0.0,0.0,0.0,115.26,BAT,8.5
B de Leede,178.5,175.0,92.5925925925926,0.0,0.0,0.0,178.5,BAT,8.5
BG Illing,0.0,0.0,0.0,73.99284,3.0,6.275229357798165,73.99284,BOWL,8.5
BL Mooney,1009.8000000000001,990.0,116.88311688311688,0.0,0.0,0.0,1009.8000000000001,BAT,8.5
BM Halliday,242.76,238.0,110.1851851851852,73.99284,3.0,5.4,316.75284,BAT,8.5
BMSM Kumari,16.32,16.0,61.53846153846154,341.43684,15.0,6.531818181818182,357.75684,BOWL,8.5
BS Fulmali,1.02,1.0,33.33333333333333,0.0,0.0,0.0,1.02,BAT,8.5
BYA Mendis,193.8,190.0,92.23300970873788,0.0,0.0,0.0,193.8,BAT,8.5
Batool Fatima,15.3,15.0,78.94736842105263,0.0,0.0,0.0,15.3,BAT,8.5
Bismah Maroof,450.84000000000003,442.0,90.94650205761316,51.70584,2.0,6.743801652892562,502.54584000000006,BAT,8.5
C Abel,0.0,0.0,0.0,0.0,0.0,10.153846153846157,0.0,BAT,8.5
C Murray,6.12,6.0,31.57894736842105,207.71484,9.0,7.0,213.83484,BOWL,8.5
C Raack,4.08,4.0,66.66666666666666,22.287000000000003,1.0,8.6,26.367000000000004,BOWL,8.5
C Sutthiruang,37.74,37.0,88.09523809523809,44.574000000000005,2.0,8.705882352941176,82.31400000000001,BOWL,8.5
C de Lange,1.02,1.0,12.5,163.14084,7.0,6.983606557377049,164.16084,BOWL,8.5
CA Henry,198.9,195.0,103.1746031746032,230.00184,10.0,5.77319587628866,428.90184,AR,8.5
CC Dalton,9.18,9.0,32.142857142857146,0.0,0.0,0.0,9.18,BAT,8.5
CE Dean,33.660000000000004,23.0,135.29411764705884,430.58484,19.0,6.983606557377049,464.24484,BOWL,8.5
CJ Metcalfe,4.08,4.0,17.391304347826086,163.14084,7.0,5.822222222222222,167.22084,BOWL,8.5
CL Tryon,382.5,375.0,121.35922330097088,252.28884000000002,11.0,6.380664652567976,634.78884,AR,8.5
CM Edwards,328.44,322.0,101.25786163522012,0.0,0.0,9.0,328.44,BAT,8.5
CMA Shillington,205.02,201.0,90.9502262443439,0.0,0.0,0.0,205.02,BAT,8.5
CN Nation,36.72,36.0,83.72093023255815,0.0,0.0,0.0,36.72,BAT,8.5
CNIM Joyce,134.64000000000001,132.0,76.74418604651163,0.0,0.0,0.0,134.64000000000001,BAT,8.5
D Brown,16.32,6.0,300.0,185.42784,8.0,4.62420382165605,201.74784,BOWL,8.5
D Devnarain,36.72,36.0,87.8048780487805,0.0,0.0,0.0,36.72,BAT,8.5
D Hazell,23.46,23.0,76.66666666666667,140.85384000000002,6.0,5.969543147208121,164.31384000000003,BOWL,8.5
D Hemalatha,21.42,21.0,116.66666666666669,111.435,5.0,7.548387096774193,132.85500000000002,BOWL,8.5
D Tucker,12.24,12.0,48.0,7.13184,0.0,5.0,19.37184,BAT,8.5
D van Niekerk,286.62,281.0,75.33512064343164,430.58484,19.0,4.856115107913669,717.20484,AR,8.5
DB Sharma,283.56,278.0,102.96296296296296,631.1678400000001,28.0,6.612903225806452,914.72784,AR,8.5
DEM Carter,231.54,227.0,102.25225225225223,44.574000000000005,2.0,7.5,276.114,BAT,8.5
DJS Dottin,639.54,627.0,108.66551126516464,809.46384,36.0,4.952662721893491,1449.0038399999999,AR,8.5
DM Kimmince,5.1,5.0,62.5,252.28884000000002,11.0,4.945945945945946,257.38884,BOWL,8.5
DN Wyatt,760.92,746.0,125.16778523489933,0.0,0.0,9.0,760.92,BAT,8.5
DP Vaidya,0.0,0.0,0.0,29.41884,1.0,6.923076923076923,29.41884,BOWL,8.5
DR Gibson,57.120000000000005,56.0,119.14893617021276,140.85384000000002,6.0,7.116279069767441,197.97384000000002,BOWL,8.5
Diana Baig,3.06,3.0,20.0,185.42784,8.0,5.538461538461538,188.48784,BOWL,8.5
Dilara Akter,61.2,60.0,77.92207792207793,0.0,0.0,0.0,61.2,BAT,8.5
E Bisht,1.02,1.0,50.0,118.56684000000001,5.0,4.125,119.58684000000001,BOWL,8.5
