player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits,base_proj,vegas_multiplier,vegas_proj,shift
A Bosch,140.76,138.0,104.54545454545456,0.0,0.0,0.0,140.76,BAT,8.5,140.76,0.9623620356542087,135.46208013868642,-5.297919861313574
A Canning,10.2,10.0,111.11111111111111,73.99284,3.0,6.239999999999999,84.19284,BOWL,8.5,84.19284,1.1352142919229746,95.5769152455843,11.384075245584299
A Capsey,202.98,199.0,121.34146341463416,0.0,0.0,0.0,202.98,BAT,8.5,202.98,1.0695981825434215,217.10703909266368,14.127039092663694
A Dalzell,20.4,20.0,80.0,0.0,0.0,8.639999999999999,20.4,BAT,8.5,20.4,1.0295975452591108,21.00378992328586,0.6037899232858628
A Das,3.06,3.0,37.5,73.99284,3.0,5.755102040816327,77.05284,BOWL,8.5,77.05284,0.8968055921327309,69.10141780170858,-7.951422198291425
A Dercksen,175.44,172.0,127.40740740740742,51.70584,2.0,6.571428571428571,227.14584,BAT,8.5,227.14584,0.8967983561008608,203.70401590714914,-23.44182409285085
A Gardner,470.22,461.0,121.31578947368422,675.74184,30.0,6.428571428571429,1145.96184,AR,8.5,1145.96184,0.8674250836504598,994.0360449222347,-151.9257950777652
A Hunter,99.96,98.0,90.74074074074076,0.0,0.0,0.0,99.96,BAT,8.5,99.96,1.1098528437324804,110.94089025949873,10.980890259498736
A Khaka,10.2,10.0,83.33333333333334,519.73284,23.0,6.219959266802444,529.93284,BOWL,8.5,529.93284,1.0303345035229625,546.0080896019136,16.075249601913583
A King,11.22,11.0,84.61538461538461,51.70584,2.0,5.945945945945946,62.92584,BOWL,8.5,62.92584,1.0624217733388135,66.85378252163444,3.927942521634442
A Lister,129.54,127.0,98.44961240310076,0.0,0.0,0.0,129.54,BAT,8.5,129.54,0.8561753482887408,110.90895461732347,-18.63104538267652
A Mohammed,28.56,28.0,100.0,296.86284,13.0,5.602787456445993,325.42284,BOWL,8.5,325.42284,1.1409729556485981,371.29865959036084,45.875819590360834
