Lineup_Num,Projected_Pts,Salary_Used,Captain,Vice_Captain,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9
1,790.15,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Hardik Pandya,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Phil Salt,Moeen Ali,Chris Jordan,Harry Brook
2,788.34,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Phil Salt,Mark Wood,Harry Brook
3,787.86,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Mohammed Siraj,Phil Salt,Sam Curran,Chris Jordan,Harry Brook
4,783.09,100.0,Virat Kohli,Jos Buttler,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Phil Salt,Moeen Ali,Harry Brook
5,782.89,100.0,Virat Kohli,Rohit Sharma,Hardik Pandya,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jos Buttler,Phil Salt,Chris Jordan,Harry Brook
6,782.74,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Phil Salt,Jofra Archer,Adil Rashid,Chris Jordan
7,781.93,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Phil Salt,Liam Livingstone,Adil Rashid,Harry Brook
8,781.56,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Phil Salt,Liam Livingstone,Jofra Archer,Harry Brook
9,780.93,100.0,Virat Kohli,Hardik Pandya,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Phil Salt,Sam Curran,Harry Brook
10,780.2,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Hardik Pandya,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Phil Salt,Sam Curran,Mark Wood,Chris Jordan
11,778.39,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Phil Salt,Jofra Archer,Chris Jordan
12,778.25,100.0,Virat Kohli,Rohit Sharma,Hardik Pandya,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Jofra Archer,Mark Wood,Chris Jordan,Harry Brook
13,777.99,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jos Buttler,Mark Wood,Chris Jordan,Harry Brook
14,776.94,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Phil Salt,Moeen Ali,Sam Curran,Mark Wood
15,775.93,100.0,Virat Kohli,Rohit Sharma,Hardik Pandya,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Adil Rashid,Chris Jordan,Harry Brook
16,775.3,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Phil Salt,Moeen Ali,Chris Jordan
17,774.5,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Mohammed Siraj,Moeen Ali,Adil Rashid,Chris Jordan,Harry Brook
18,774.23,100.0,Virat Kohli,Rohit Sharma,Suryakumar Yadav,Hardik Pandya,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Liam Livingstone,Sam Curran,Chris Jordan,Harry Brook
19,773.58,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Moeen Ali,Mark Wood,Chris Jordan
20,773.54,100.0,Virat Kohli,Hardik Pandya,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Arshdeep Singh,Mohammed Siraj,Phil Salt,Jofra Archer,Mark Wood,Harry Brook
