player,team,role,salary,projected_points
Virat Kohli,IND,BAT,10.5,86.32
Rohit Sharma,IND,BAT,10.0,77.39
Suryakumar Yadav,IND,BAT,9.5,71.44
Hardik Pandya,IND,AR,10.0,78.49
Jasprit Bumrah,IND,BOWL,9.5,77.79
Ravindra Jadeja,IND,AR,9.0,63.48
Rishabh Pant,IND,WK,8.5,59.53
Arshdeep Singh,IND,BOWL,8.0,50.0
Mohammed Siraj,IND,BOWL,8.5,53.34
Jos Buttler,ENG,WK,10.5,72.89
Jonny Bairstow,ENG,BAT,9.5,56.37
Phil Salt,ENG,WK,8.5,47.62
Moeen Ali,ENG,AR,9.0,48.99
Liam Livingstone,ENG,AR,9.0,47.1
Sam Curran,ENG,AR,9.5,58.41
Jofra Archer,ENG,BOWL,9.5,58.96
Adil Rashid,ENG,BOWL,9.0,49.89
Mark Wood,ENG,BOWL,8.5,41.73
Chris Jordan,ENG,BOWL,8.0,38.1
Harry Brook,ENG,BAT,8.5,46.65
